ticker,event_type,event_category,direction,direction_score,direction_derivation_note,event_date,knowledge_date,knowledge_timestamp_eligible_from,source,source_document_id,canonical_event_id,PIT_status,evidence_status,confidence,duplicate_status,underlying_event_id,headline
DEAPCAP,corporate_restructuring,corporate,positive,1,corporate_restructuring: rename disclosed WITH an accompanying disclosed capital injection (Banklink Africa / RGM Material Solutions) in the same transaction -> POSITIVE per CIR rule row 2.,2026-03-17,2026-03-17,2026-03-18,nairametrics,11538,news_nairametrics_2026-03-17_deapcap_rename,PIT-SAFE,met,0.5,primary,171,"Deap Capital shareholders approve renaming to Critical Minerals Financing Corporation Plc (CMFC), N1bn capital injection from Banklink Africa"
LEGENDINT,merger,corporate,positive,1,"merger: stated increase in combined capital base (N80bn) vs. LEGENDINT's own prior ~N12bn market cap, as stated in the article -> POSITIVE per CIR rule row 1.",2026-03-24,2026-03-24,2026-03-25,nairametrics,11540,news_nairametrics_2026-03-24_legendint_spectranet,PIT-SAFE,met,0.5,primary,172,"Legend Internet Plc and Spectranet Limited announce merger plans, targeting N80 billion combined capital base, board/shareholder approvals secured"
ROYALEX,ownership_change,corporate,neutral,0,ownership_change: external stake acquisition with NO stated strategic intent disclosed in the source article ('has not yet disclosed its strategic intentions') -> NEUTRAL per CIR rule row 3. Price action (234% prior-year run) is explicitly not a permitted input to this rule.,2025-09-21,2025-09-21,2025-09-22,nairametrics,11543,news_nairametrics_2025-09-21_royalex_nexamont,PIT-SAFE,met,0.5,primary,173,"Nexamont Company Limited acquires 21.4% equity stake (1.77bn shares) in Royal Exchange Plc via secondary market, valued at N3.6bn"
SUNUASSUR,management_change,corporate,neutral,0,"management_change: routine resignation, no stated adverse reason, plus a routine appointment, no simultaneous controversy disclosed -> NEUTRAL per GMC rule rows 1 and 3.",2026-04-01,2026-04-11,2026-04-13,nairametrics,11552,news_nairametrics_2026-04-11_sunuassur_board,PIT-SAFE,met,0.5,primary,178,SUNU Assurances: Olajumoke Bakare resigns as Independent Non-Executive Director effective 2026-04-01; Olayinka Adaramola appointed Executive Director Technical Operations
UNIVINSURE,management_change,corporate,neutral,0,"management_change: CEO confirmation, no simultaneous resignation-under-controversy disclosed -> NEUTRAL per GMC rule row 1.",2025-01-10,2025-01-17,2025-01-20,nairametrics,11553,news_nairametrics_2025-01-17_univinsure_ceo,PIT-SAFE,met,0.5,primary,179,"Universal Insurance confirms Dr. Japhet Ogueri Duru as MD/CEO effective 2025-01-10, disclosed to NGX 2025-01-16, NAICOM-approved"
VERITASKAP,management_change,corporate,neutral,0,"management_change: chairman election via AGM vote, no simultaneous resignation-under-controversy disclosed -> NEUTRAL per GMC rule row 1.",2025-10-31,2025-11-03,2025-11-04,nairametrics,11554,news_nairametrics_2025-11-03_veritaskap_chairman,PIT-SAFE,met,0.5,primary,180,Veritas Kapital Assurance shareholders elect Babatunde Irukera (ex-FCCPC Executive Vice Chairman) as Board Chairman at 48th AGM held 2025-10-31
ROYALEX,management_change,corporate,neutral,0,"management_change: new chairman appointed, prior chairman's departure is a routine retirement after long tenure, no stated adverse reason -> NEUTRAL per GMC rule rows 1 and 3.",2026-02-02,2026-02-02,2026-02-03,nairametrics,11556,news_nairametrics_2026-02-02_royalex_chairman,PIT-SAFE,met,0.5,primary,182,"Royal Exchange Plc: Ikeme Osakwe named Group Chairman effective immediately, succeeding Kenny Ezenwani Odogwu who retires after 28 years on the board (18 as Chairman)"
TANTALIZER,ownership_change,corporate,unknown,,"ownership_change: FINDING -- this event does not fit any defined CIR rule row cleanly. Rule row 3 (NEUTRAL) requires 'no accompanying capital-raise/ injection', but this transaction explicitly DID include one (N1.07bn private placement accompanying the stake acquisition). Rule row 2 (POSITIVE, capital injection) is scoped specifically to rename/pivot events, not ownership_change. No defined row covers 'ownership_change WITH accompanying capital injection' -- this is an honest gap in Sec.14C's rule coverage, not stretched to fit a convenient answer -> UNKNOWN per rule row 5.",2024-11-12,2024-11-12,2024-11-13,nairametrics,11557,news_nairametrics_2024-11-12_tantalizer_majority_shareholder,PIT-SAFE,met,0.5,primary,183,"Tantalizers Plc: Food Specialties and Organics Limited + Banklink Africa Private Equities Limited acquire majority stake (~36%+ combined) via N1.07bn private placement, 1,788,372,094 shares at 60 kobo"
TANTALIZER,management_change,corporate,neutral,0,"management_change: board appointment, no simultaneous resignation-under-controversy disclosed -> NEUTRAL per GMC rule row 1.",2025-07-29,2025-09-02,2025-09-03,nairametrics,11558,news_nairametrics_2025-09-02_tantalizer_ogidan,PIT-SAFE,met,0.5,primary,184,"Tantalizers Plc appoints filmmaker Tade Ogidan to Board of Directors, effective 2025-07-29, supporting foodtainment diversification strategy"
REDSTAREX,corporate_restructuring,corporate,unknown,,"corporate_restructuring: FINDING -- this event does not fit any defined CIR rule row. It is an internal reorganization (a wholly-owned subsidiary absorbed into its parent), not a merger between independent parties (rule row 1), not a rename/pivot with capital injection (row 2), not an external stake acquisition (row 3), and not disclosed as a response to distress (row 4) -- the accompanying strong profit figures are earnings-adjacent content, explicitly out of scope for CIR direction input per Sec.14A, and are NOT used here to infer a positive lean -> UNKNOWN per rule row 5.",2025-09-18,2025-09-24,2025-09-25,nairametrics,11559,news_nairametrics_2025-09-24_redstarex_logistics_merger,PIT-SAFE,met,0.5,primary,185,"Red Star Express: shareholders approve integrating wholly-owned subsidiary Red Star Logistics Limited into parent company at 32nd AGM (2025-09-18); subsidiary ceases to exist as separate legal entity, operations continue as a division"
